species,iucnRedListCategory
Agkistrodon howardgloydi,NE
Drymobius margaritiferus,LC
Tantilla vermiformis,LC
Lampropeltis polyzona,LC
Thecadactylus rapicauda,LC
Rhinoclemmys pulcherrima,NE
Tantilla alticola,LC
Lepidoblepharis xanthostigma,LC
Trachemys emolli,NE
Sibon dimidiatus,LC
Trachemys venusta,NE
Urotheca fulviceps,LC
Erythrolamprus bizona,LC
Ungaliophis panamensis,LC
Tretanorhinus nigroluteus,LC
Dendrophidion crybelum,NE
Basiliscus plumifrons,LC
Dendrophidion apharocybe,NE
Anolis sagrei,LC
Leptophis riveti,LC
Agkistrodon bilineatus,NT
Dendrophidion vinitor,LC
Anolis cupreus,LC
Leptodeira ornata,NE
Holcosus undulatus,LC
Sceloporus malachiticus,LC
Trachemys ornata,VU
Amastridium veliferum,LC
Ninia maculata,LC
Sibon longifrenis,LC
Epicrates maurus,LC
Corallus annulatus,LC
Sibon lamari,EN
Anolis aquaticus,LC
Bothrops lanceolatus,EN
Anolis alocomyos,NE
Anolis capito,LC
Lachesis muta,LC
Ctenosaura similis,LC
Leptodeira septentrionalis,LC
Tantilla reticulata,LC
Loxocemus bicolor,LC
Kinosternon leucostomum,NE
Micrurus nigrocinctus,LC
Micrurus mosquitensis,LC
Dermochelys coriacea,VU
Mabuya mabouya,CR
Alopoglossus plicatus,LC
Anolis insignis,LC
Anolis uniformis,LC
Stenorrhina degenhardtii,LC
Nothopsis rugosus,LC
Clelia clelia,LC
Erythrolamprus mimus,LC
Anolis frenatus,LC
Porthidium nasutum,LC
Lachesis melanocephala,VU
Rhadinaea decorata,LC
Epicrates cenchria,LC
Anolis cristatellus,LC
Epictia ater,LC
Tantilla ruficeps,LC
Dipsas variegata,LC
Erythrolamprus epinephelus,LC
Rhadinaea pulveriventris,DD
Drymarchon corais,LC
Dendrophidion percarinatum,LC
Sceloporus variabilis,LC
Kinosternon angustipons,VU
Stenorrhina freminvillei,LC
Anolis laeviventris,LC
Anolis salvini,NT
Atropoides picadoi,LC
Bothrops asper,LC
Anolis lemurinus,LC
Oxybelis aeneus,LC
Mastigodryas melanolomus,LC
Lepidochelys olivacea,VU
Gerrhonotus rhombifer,DD
Thamnophis marcianus,LC
Basiliscus basiliscus,LC
Conophis lineatus,LC
Epictia goudotii,LC
Enulius flavitorques,LC
Siphlophis compressus,LC
Bothriechis supraciliaris,LC
Lepidophyma reticulatum,LC
Senticolis triaspis,LC
Phyllodactylus tuberculosus,LC
Leptophis depressirostris,LC
Urotheca lateristriga,LC
Hydrophis platurus,LC
Trimetopon gracile,LC
Lampropeltis triangulum,LC
Sibon anthracops,LC
Pliocercus euryzonus,LC
Anolis altae,LC
Polychrus gutturosus,LC
Xenodon rabdocephalus,LC
Coluber constrictor,LC
Centrosaura apodema,NE
Sibon nebulatus,LC
